nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.8,Luar Jabodetabek
Kylafood Seblak Original Play,15050,kylafood,Bandung,1000,5.0,Luar Jabodetabek
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,100,4.9,Jabodetabek
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,Jabodetabek
KERUPUK SEBLAK MENTAH ANEKA WARNA,11500,jajanangarut19,Jakarta Selatan,250,4.9,Jabodetabek
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8,Jabodetabek
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,Jabodetabek
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100,4.8,Jabodetabek
seblak instant sajodo snak,19000,hikmah berkah jaya,Jakarta Barat,750,4.8,Jabodetabek
"Kylafood Seblak Cup Instan, Halal",11500,Brother Meat Shop,Depok,60,5.0,Jabodetabek
Seblak Instan,8000,ROEMAH MOSLEM,Kab. Boyolali,40,5.0,Luar Jabodetabek
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,22500,Lidigeli,Kab. Garut,40,5.0,Luar Jabodetabek
KERUPUK KRUPUK SEBLAK PEDAS 250 GR,10000,TOKO KUE MEISYA,Jakarta Pusat,100,4.9,Jabodetabek
KERUPUK BAWANG WARNA MERAH KRUPUK SEBLAK MENTAH - 500 gram,11500,BociKakang,Jakarta Selatan,90,5.0,Jabodetabek
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",17499,aghniya,Tangerang Selatan,50,4.9,Jabodetabek
Seblak instan yoi enak dan kenyang,7500,SeblakYoi,Bekasi,250,5.0,Jabodetabek
seblak frozen,10400,pelangi girls naget,Jakarta Timur,2000,4.9,Jabodetabek
PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,4550,ivy's-kitchen,Kab. Tangerang,500,4.7,Jabodetabek
SEBLAK INSTAN MAMANG TERMURAH,4000,global cookware1,Jakarta Barat,100,4.9,Jabodetabek
Kylafood Seblak Rempah Autentik,10000,Kylafood Jakarta,Jakarta Selatan,90,5.0,Jabodetabek
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,22000,ajs(ale jaya snack),Jakarta Utara,30,5.0,Jabodetabek
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,39900,Beauty DELUXE,Jakarta Barat,9,5.0,Jabodetabek
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,35000,Lidigeli,Kab. Garut,100,4.9,Luar Jabodetabek
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Mawar Warna,23500,BociKakang,Jakarta Selatan,250,5.0,Jabodetabek
KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,19050,dariimyu,Kab. Indramayu,100,5.0,Luar Jabodetabek
KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET 500 GRAM,32100,TOKO KUE MEISYA,Jakarta Pusat,40,5.0,Jabodetabek
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,4990,NomeL Shop,Surabaya,2000,4.7,Luar Jabodetabek
Sukro pilus Cikur Sari rasa 500 g - toping seblak - baso aci,18000,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9,Jabodetabek
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000,GK_Snack,Kab. Bandung,750,5.0,Luar Jabodetabek
Seblak Instan Komplit Bumbu Basah,9859,Eatbam store,Jakarta Timur,70,4.7,Jabodetabek
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15500,toko bemo,Jakarta Timur,500,4.9,Jabodetabek
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,16800,Foodstocks,Jakarta Selatan,100,5.0,Jabodetabek
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,14000,ajs(ale jaya snack),Jakarta Utara,90,4.9,Jabodetabek
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,20000,KRIUK JAYA,Jakarta Barat,30,4.9,Jabodetabek
KERUPUK SEBLAK KENCUR BERAT 250 gram,11500,aurel prima snack,Jakarta Barat,100,4.9,Jabodetabek
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,40000,Beauty DELUXE,Jakarta Barat,16,5.0,Jabodetabek
Termurah Kerupuk Mentah-Kerupuk Seblak-Kerupuk Puli,6800,Djuragan Kerupuk,Surabaya,90,5.0,Luar Jabodetabek
Seblak Sultan instant,14000,Sultan Meat Shop,Medan,250,4.8,Luar Jabodetabek
kerupuk seblak pedas 1 kg / kerupuk seblak,35625,Adila_Putri_Snack,Kab.Ciamis,100,4.8,Luar Jabodetabek
PAKET BUNDLING HEMAT 12  (6 pcs seblak 6pcs baso aci ) MAKANAN INSTAN ,44999,gudangsnacktgr19,Kab. Tangerang,5,4.3,Jabodetabek
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,30,5.0,Jabodetabek
KERUPUK JABLAY BANTET SEBLAK PELANGI,15999,Toko kue Sumber Mas,Jakarta Timur,500,4.9,Jabodetabek
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",18000,global cookware1,Jakarta Barat,1000,4.8,Jabodetabek
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,15000,DUO BOCIL SNACK,Depok,40,4.9,Jabodetabek
seblak ceker pedas kerupuk,10000,ken-olshop,Bekasi,250,5.0,Jabodetabek
"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",9999,aghniya,Tangerang Selatan,70,4.9,Jabodetabek
KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,5000,SuperSnacksShop,Kab. Bandung,1000,4.9,Luar Jabodetabek
SABRING KERUPUK SEBLAK PEDAS,4000,RIKI STORE 97,Kab. Bogor,40,5.0,Jabodetabek
"pilus cikur/kencur renceng isi 20 bks. baso aci, seblak, cemilan dll",9999,aghniya,Tangerang Selatan,250,5.0,Jabodetabek
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,17248,AHR Jaya Snack,Jakarta Timur,50,5.0,Jabodetabek
"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",25999,aghniya,Tangerang Selatan,250,4.9,Jabodetabek
Agen Seblak Mommy,9750,Kenal Jaya Bandung,Bandung,3000,4.9,Luar Jabodetabek
"baso aci boci instan maci eco ayam, keju, seblak",8999,snackbox88,Bekasi,100,4.9,Jabodetabek
krupuk seblak hah pedas gurih 500gr,25000,Markas Makaroni,Kab. Bekasi,750,4.9,Jabodetabek
Kerupuk Jablay Bantet Seblak isi 10 pcs,10000,ken-olshop,Bekasi,250,5.0,Jabodetabek
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,40000,Naturally Plus Jakarta,Kab. Tangerang,250,5.0,Jabodetabek
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,750,4.9,Jabodetabek
krupuk seblak hah pedas gurih 200gr,10000,Markas Makaroni,Kab. Bekasi,1000,4.9,Jabodetabek
Kerupuk Mentah 250gr Seblak Mentah,6200,Pedas Gilaa,Surabaya,250,5.0,Luar Jabodetabek
Seblak Basranger Extra Pedas 200gr,17300,Rak Sebelah,Jakarta Pusat,250,4.9,Jabodetabek
seblak instan jeletot jajanan hits bandung 1 porsi,4180,tokomakanankalimantan,Jakarta Barat,1000,4.8,Jabodetabek
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,56300,Rak Sebelah,Jakarta Pusat,100,4.9,Jabodetabek
CUANKIE SIOMAY ISI 50 TOPPING BASO ACI / SEBLAK,18000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,28,4.5,Jabodetabek
kerupuk bubur/ seblak / gado- gado/ ketoprak 500gr,18000,Taufik Bumbu Giling,Jakarta Selatan,100,4.9,Jabodetabek
Seblak Instan Komplit Pedas Gurih Nikmat,5999,Baso Aci Ayang,Kab. Garut,2000,4.9,Luar Jabodetabek
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,11500,aurel prima snack,Jakarta Barat,15,4.8,Jabodetabek
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,12000,insanprimastore,Tangerang Selatan,17,5.0,Jabodetabek
Kerupuk Seblak / Seblak / Kering Pedas /,10000,Anggris store,Kab. Bogor,50,4.8,Jabodetabek
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,16695,Toko kue Sumber Mas,Jakarta Timur,250,4.9,Jabodetabek
Seblak Tokpokki by Inara Food,23000,Inara Food Official,Depok,6,5.0,Jabodetabek
krupuk seblak hah pedas gurih 1kg,50000,Markas Makaroni,Kab. Bekasi,500,5.0,Jabodetabek
SEBLAK JELETET MURNI (AJAHH),26500,Seblak Jeletet Murni,Jakarta Pusat,1000,4.9,Jabodetabek
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,42000,global cookware1,Jakarta Barat,28,5.0,Jabodetabek
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,93840,Lakoca Official Shop,Cimahi,100,4.8,Luar Jabodetabek
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500,BociKakang,Jakarta Selatan,500,4.8,Jabodetabek
seblak kencur / okesnack,10000,oke snack,Jakarta Selatan,750,4.9,Jabodetabek
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,15000,Lidigeli,Kab. Garut,100,4.9,Luar Jabodetabek
kerupuk ikan mentah putih seblak gurih renyah garing 1000gr - M,26500,Radja Herbal Indonesia,Kab. Bekasi,17,5.0,Jabodetabek
Kerupuk Seblak Vegetarian Snack Vegan,14500,veggieku store,Jakarta Barat,7,4.8,Jabodetabek
kerupuk seblak pedas 1/2 kg / kerupuk seblak ½ - Pedas,20482,Adila_Putri_Snack,Kab.Ciamis,100,4.8,Luar Jabodetabek
Kerupuk Mie Pedas Bantet/ Kerupuk Seblak Keriting Pedas,13500,Homisnack Official,Jakarta Selatan,4,5.0,Jabodetabek
Seblak Instant Homemade Lengkap Bumbu,5000,Pedas Gilaa,Surabaya,3000,4.8,Luar Jabodetabek
seblak instan,4555,tsr1997,Depok,2000,4.8,Jabodetabek
cuanki lidah khas garut 50 pcs enak untuk baso aci dan seblak ( BRY ),15999,aghniya,Tangerang Selatan,500,4.9,Jabodetabek
Cuanki Batagor besar isi 25 pcs toping seblak baso Aci bakso cuanki,8600,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9,Jabodetabek
"Seblak Instant ""mBak'Well""",15000,Welly Mart,Tangerang Selatan,100,5.0,Jabodetabek
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,6173,Berkah Food Bandung,Cimahi,6000,4.9,Luar Jabodetabek
Kerupuk Pedas Sebring Seblak Keriting Extra Pedas Kencur isi 150 Gram - 150gr,12000,toko kue pundi mas,Jakarta Pusat,100,4.8,Jabodetabek
kerupuk seblak pedas/kerupuk jablai 100gram,8000,Warung Snackk,Tangerang,11,5.0,Jabodetabek
Seblak Tulang Rangu Nyai Mercon,21000,Jajanan Hits (JS),Tangerang Selatan,30,5.0,Jabodetabek
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,70,4.9,Luar Jabodetabek
"seblak ceker 1 kg pedas daun jeruk, gurih,cemilan bikin nagih",35999,aghniya,Tangerang Selatan,40,5.0,Jabodetabek
SEBLAK BAPPER INSTAN EXTRA HOT,15900,Ss_Frozenfood,Jakarta Timur,250,4.9,Jabodetabek
Krupuk seblak//Krupuk Bantet 250gr,6000,Bunda alifba,Jakarta Barat,40,4.8,Jabodetabek
Seblak Bapper,13999,Pedas Gilaa,Surabaya,250,4.9,Luar Jabodetabek
Seblak Rempah Autentik isi 5 pcs,45000,Kylafood Jakarta,Jakarta Selatan,40,5.0,Jabodetabek
Seblak Putih Pedas / Kerupuk Bawang Pedas Odjolali Oleh Oleh Bsndung,9000,The Little Snacks,Tangerang Selatan,1000,4.9,Jabodetabek
MASJAY Combo 3pcs Seblak Bandung Instant Bumbu Pedas Membara,39000,Lidigeli,Kab. Garut,29,4.7,Luar Jabodetabek
Kerupuk Seblak Viral / Kerupuk Mawar Putih Viral Mentah 250gram,8000,Bumbukeluargakita,Jakarta Barat,18,5.0,Jabodetabek
Seblak Komplit⠀⠀,5500,lisdhacollection,Kab. Garut,2000,4.8,Luar Jabodetabek
Seblak beton extra pedas daun jeruk 500gram,25500,Seblak Guludug Bandung,Kab. Bandung,10,5.0,Luar Jabodetabek
SEBLAK JUMBO + SOSIS INSTANT,5800,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,1000,4.7,Jabodetabek
PAKET MIX HEMAT 25 BASO ACI/BOCI/SEBLAK/CUANKI,45000,ArfaOnlineShop,Tangerang,70,4.9,Jabodetabek
SEBLAK INSTAN SAJODO SNACK,18500,Sajodo Snack & Food,Tasikmalaya,70,5.0,Luar Jabodetabek
KERUPUK SEBLAK KENCUR/SEBLAK CIKRUH BERAT 500 GRAM,22500,aurel prima snack,Jakarta Barat,8,3.7,Jabodetabek
seblak / paket seblak bumbu komplit pedas ekonomis,3479,Grosir Putra Bdg,Kab. Bandung,250,4.9,Luar Jabodetabek
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE, ENAK DAN GURIH",18000,global cookware1,Jakarta Barat,90,4.9,Jabodetabek
Omiyago Snack Kerupuk Seblak,6020,omiyago,Jakarta Barat,30,4.8,Jabodetabek
Kerupuk Seblak Kencur Pedas Gurih - Anum Sari - 250 Gram,14000,ANUM SARI,Tangerang Selatan,70,4.9,Jabodetabek
cemilan SEBLAK KARI PEDAS 65gr,4500,oke snack,Jakarta Selatan,100,4.8,Jabodetabek
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,16618,Lakoca Official Shop,Cimahi,100,4.9,Luar Jabodetabek
Kerupuk Seblak Putih/ Kerupuk Seblak Putih Pedas Daun Jeruk,15000,Homisnack Official,Jakarta Selatan,5,5.0,Jabodetabek
Bundle 3pcs - Seblak Basranger Extra Pedas 200gr Makanan Instan,51900,Rak Sebelah,Jakarta Pusat,50,4.8,Jabodetabek
"CUANKI SIOMAY TOPING BASO ACI, MIE INSTAN, SEBLAK",17500,global cookware1,Jakarta Barat,500,4.8,Jabodetabek
KERUPUK SEBLAK JABLAY 250 GRAM,10000,TOKO KUE MEISYA,Jakarta Pusat,250,4.9,Jabodetabek
KERUPUK KRUPUK JABLAY SEBLAK PELANGI KILOAN TERLARIS 250 GRAM,15000,toko kue pundi mas,Jakarta Pusat,100,4.9,Jabodetabek
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK 250GRAM SNACK KILOAN,15000,ajs(ale jaya snack),Jakarta Utara,10,4.7,Jabodetabek
KERUPUK SEBLAK Aneka Warna PEDAS ... HOT,14000,KRIUK JAYA,Jakarta Barat,100,4.7,Jabodetabek
Cuanki lidah standar 150 pcs khas garut untuk baso aci & Seblak K'rasa,39999,aghniya,Tangerang Selatan,500,4.9,Jabodetabek
KERUPUK / KRUPUK SEBLAK RAFAEL RENYAH / GURIH / CRISPY / KRISPY ,6600,TOKO SNACK JAKARTA HENDI,Jakarta Timur,1000,4.8,Jabodetabek
"seblak krupuk 5000 ,pedas dan gurih",4000,anugrah seblak,Kab. Bandung,1000,4.7,Luar Jabodetabek
Makanan Kering Kerupuk Seblak Pedas 100 gram,5000,BLIBET,Jakarta Barat,8,5.0,Jabodetabek
"keripik beling / kaca 1 kg. bumbu seblak daun jeruk enak, gurih, pedas",44999,aghniya,Tangerang Selatan,250,4.8,Jabodetabek
kerupuk seblak pedas / kerupuk jablay,15000,CAMILLANS,Jakarta Selatan,17,4.9,Jabodetabek
Kerupuk Merah Seblak 250gr BANDUNG,4950,yohangunawan94,Bandung,750,5.0,Luar Jabodetabek
SEBLAK COET BY NYEMILSAJI,15287,nyemilsaji,Kab. Bandung,60,5.0,Luar Jabodetabek
Seblak Uleg Ala Mamang Rafael,9000,Ghery Durian Shop,Jakarta Timur,25,5.0,Jabodetabek
Seblak Ceker Instant | Seblak Ceker Cap Dia Putra | Seblak Ceker,7500,GshoesTreatment,Kab. Bogor,29,5.0,Jabodetabek
SEBLAK CEKER CAP DUA PUTRA ISI 20 X 10 gram,9000,HRNWN STORE,Kab. Tangerang,11,5.0,Jabodetabek
Kerupuk Seblak Kencur / Seblak Jablay Viral @100-500gr,9000,Toko Camilan Anyar,Surabaya,80,4.9,Luar Jabodetabek
SEBLAK COBEK VIRAL ALA RAFAEL DIJAMIN ENAK,6000,Uai Food,Surabaya,80,4.7,Luar Jabodetabek
Kerupuk Seblak Pedas 200gram,17000,toko bemo,Jakarta Timur,100,4.8,Jabodetabek
Kerupuk seblak orens / kerupuk sari laut orange mentah,5800,home_nature,Kab. Tangerang,60,5.0,Jabodetabek
Bakso Aci Seblak Mie instant baso kekinian halal murah enak,6999,Maya Light Electro,Tangerang,30,4.6,Jabodetabek
SEBLAK INSTAN MOMMY,13500,Rav Jaya Display,Kab. Tangerang,1000,4.8,Jabodetabek
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,17160,Foodstocks,Jakarta Selatan,80,4.9,Jabodetabek
kerupuk seblak kering enak gurih,5000,RIKI STORE 97,Kab. Bogor,250,4.8,Jabodetabek
Kerupuk Merah/Kerupuk Seblak Mentah,7000,Nyonya Sayur,Jakarta Pusat,100,5.0,Jabodetabek
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,29999,Pedas Gilaa,Surabaya,750,4.9,Luar Jabodetabek
KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,7900,Iguazabest777,Kab. Tangerang,50,4.9,Jabodetabek
Seblak Instan Jontor Plus Bumbu Kencur - Seblak Pedas Medok,7600,snackbox88,Bekasi,30,5.0,Jabodetabek
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,16000,AyundaSnack,Bandung,50,4.8,Luar Jabodetabek
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,41999,Mama Fuji Official,Tangerang,50,4.6,Jabodetabek
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,34999,ArfaOnlineShop,Tangerang,100,4.9,Jabodetabek
Seblak Instan Sehati,13000,Official Kartika Sari,Bandung,500,5.0,Luar Jabodetabek
Bumbu Seblak - Cairo Food,25500,Cairo Food,Jakarta Pusat,29,5.0,Jabodetabek
Seblak Merah Pedas / Kerupuk Bawang Oleh Oleh Bandung Odjolali,9000,The Little Snacks,Tangerang Selatan,500,4.9,Jabodetabek
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP - Original,22000,Rasa Juara Indonesia,Kab. Bandung,1000,4.9,Luar Jabodetabek
Kerupuk Mawar Tipis Merk Singa Kerupuk Seblak Kerupuk Mentah - 1kg,28130,Djuragan Kerupuk,Surabaya,4,5.0,Luar Jabodetabek
siomay mini kering 1kg toping seblak baso aci,25000,CUANKI CULAMETAN,Kab. Garut,100,4.9,Luar Jabodetabek
Seblak Juara ! Seblak Instan Rasa Original - 2 Ori 4 Rd,115000,Rasa Juara Indonesia,Kab. Bandung,2000,4.9,Luar Jabodetabek
BASO ACI INSTANT x SEBLAK INSTANT - HALU! EMAK INDAH FOOD,44600,Pempek Emak Indah,Jakarta Barat,50,4.9,Jabodetabek
krupuk stik seblak pedas-200gram,13500,yumnaa snack,Kab. Bekasi,30,5.0,Jabodetabek
snack kiloan kerupuk seblak pedas nagih 250 gram free bubble warp,16000,camilaNung,Bekasi,500,4.8,Jabodetabek
seblak instan jawara pedas sehot bandung,13000,cemilan Bandungstore,Cimahi,60,4.9,Luar Jabodetabek
Baso urat djuara sami raos/Baso Aci Urat /Seblak,26000,Snackzone PP,Jakarta Pusat,25,5.0,Jabodetabek
Paket Isi 6 Makaroni Basah Instan | Seblak Basah Instan,93840,Lakoca Official Shop,Cimahi,15,4.8,Luar Jabodetabek
seblak super hot isi 24 pcs ,10800,Toko JJ Cleon,Palembang,15,4.8,Luar Jabodetabek
Seblak Mommy,13900,Gerai Snack Official Shop,Kab. Tangerang,2000,4.6,Jabodetabek
TAHU STICK / TAHU KERITING ISI 50 PCS TOPPING BASO ACI / SEBLAK,18000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,30,5.0,Jabodetabek
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk ( 1 KG ),79000,KRIUK JAYA,Jakarta Barat,7,5.0,Jabodetabek
Kerupuk SEBLAK KERITING PEDAS,20000,KRIUK JAYA,Jakarta Barat,100,4.9,Jabodetabek
SEBLAK JELETET MURNI ( BOHAYY),34000,Seblak Jeletet Murni,Jakarta Pusat,750,4.8,Jabodetabek
kerupuk seblak pedas daun jeruk,5000,RIKI STORE 97,Kab. Bogor,100,4.7,Jabodetabek
Seblak Instan KSN,10000,Ohayo Bento New,Jakarta Timur,30,4.8,Jabodetabek
cuanki/cuankie lidah 50 pcs khas Garut topping baso Aci/seblak/boci,16999,ArfaOnlineShop,Tangerang,100,4.9,Jabodetabek
Cuanki Lidah Kerupuk Cuanky Topping Baso Aci Seblak isi 150 Pcs,33000,Kerabat Official Store,Kab. Tasikmalaya,100,4.9,Luar Jabodetabek
Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,19500,Foodstocks,Jakarta Selatan,30,4.8,Jabodetabek
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,85000,Central Seblak Nusantara,Tangerang Selatan,17,5.0,Jabodetabek
Baso urat djuara sami raos/Baso Aci Urat /Seblak,26000,Snackzone KK,Jakarta Selatan,8,5.0,Jabodetabek
kerupuk seblak kering pedas 500 gr hot spicy keripik enak,22000,JAGO TOK PETOK,Surabaya,100,4.9,Luar Jabodetabek
Kerupuk Orange 250 gr Krupuk Sumber Sari Seblak Sumbersari Oren Merah,6500,Celikafood,Bandung,100,4.9,Luar Jabodetabek
Kerupuk Seblak viral /Kerupuk Mawar Mentah 500gram,15000,Bumbukeluargakita,Jakarta Barat,11,4.0,Jabodetabek
Kerupuk Seblak Pedas Gurih aroma Kencur,15000,DUO BOCIL SNACK,Depok,1000,4.7,Jabodetabek
seblak instan carla komplit batagor siomay jajanan khas bandung,14500,humaniss,Tangerang Selatan,10,5.0,Jabodetabek
Kerupuk Bawang Mentah Premium / Krupuk Seblak Warna Warni 1 Kg,21500,Sinar Baru Group,Jakarta Selatan,80,4.9,Jabodetabek
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,2600,NomeL Shop,Surabaya,500,4.8,Luar Jabodetabek
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg SLONDOK,21000,SuperSnacksShop,Kab. Bandung,250,4.9,Luar Jabodetabek
5 Pack Seblak Instant CARLA,67500,Seblak carla,Tangerang,40,5.0,Jabodetabek
SEBLAK ACI JAGUAR TERLEZAT BASO ACI BAKSO ACI NIKMAT BELI 5 GRATIS 1,10000,Uai Food,Surabaya,750,4.8,Luar Jabodetabek
YIMS seblak instant pedas napol termurah khas garut kerupuk seblak teh,5500,Yimshop,Semarang,250,4.7,Luar Jabodetabek
Kerupuk mawar putih mentah 1ball (5kg)/kerupuk seblak viral rafael,105000,Semesta kerupuk,Tangerang Selatan,30,5.0,Jabodetabek
Sebring seblak kering,4444,tsr1997,Depok,100,4.8,Jabodetabek
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,23500,BociKakang,Jakarta Selatan,250,5.0,Jabodetabek
Seblak Blak mie,11000,ken-olshop,Bekasi,250,5.0,Jabodetabek
MIE BURUNG DARA ISI 30 PCS BASO ACI/BOCI/SEBLAK,26000,ArfaOnlineShop,Tangerang,40,4.6,Jabodetabek
SEBLAK KERING PEDAS DAUN JERUK,4500,BociKakang,Jakarta Selatan,750,4.6,Jabodetabek
kerupuk mix 100 gram campuran seblak,2999,ArfaOnlineShop,Tangerang,20,5.0,Jabodetabek
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS,19500,aurel prima snack,Jakarta Barat,17,5.0,Jabodetabek
SIOMAY MINI KERING 250 GRAM BASO ACI/BOCI/SEBLAK/CUANKI/CUANKIE,9999,ArfaOnlineShop,Tangerang,80,4.9,Jabodetabek
KERUPUK PEDAS SEBLAK JABLAY WARNA WARNI KILOAN TERLARIS 25OGR,15000,TOKO KUE MEISYA 2,Jakarta Pusat,50,4.9,Jabodetabek
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 1kg,28500,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.8,Jabodetabek
kerupuk bawang mentah -+5kg untuk seblak warna warni. wajib grab/gojek,68500,olshoppwgi,Tangerang Selatan,12,5.0,Jabodetabek
Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,14000,TAM SNACK,Depok,100,4.8,Jabodetabek
KERUPUK SEBLAK PUTIH PEDAS 250 gr,16000,Kurniarasa Baltos,Bandung,100,4.9,Luar Jabodetabek
Kerupuk mawar putih mentah 500gram / kerupuk ikan mentah /seblak viral,12000,Semesta kerupuk,Tangerang Selatan,90,5.0,Jabodetabek
KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 500 GR,31164,Toko kue Sumber Mas,Jakarta Timur,100,4.8,Jabodetabek
krupuk seblak pedas daun jeruk,10000,toko cemilan rafiqi,Jakarta Barat,100,5.0,Jabodetabek
KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 1 KG,60102,Toko kue Sumber Mas,Jakarta Timur,90,4.9,Jabodetabek
Kerupuk Seblak,8000,SNACK JAKARTA 411,Jakarta Barat,250,5.0,Jabodetabek
Kerupuk seblak bantet pedas 75 gr enak renyah,4500,RIKI STORE 97,Kab. Bogor,3,5.0,Jabodetabek
kerupuk bawang orange seblak - 250 gr,8500,annamustikashop,Jakarta Barat,30,5.0,Jabodetabek
SEBLAK INSTANT HALU - SEBLAK MIE HALU - EMAK INDAH FOOD,19999,Pempek Emak Indah,Jakarta Barat,250,4.7,Jabodetabek
seblak kerupuk bantet kering 75 gram,5000,RIKI STORE 97,Kab. Bogor,90,4.7,Jabodetabek
Kerupuk Seblak Kencur Pedas Gurih - Anum Sari,14000,ANUM SARI,Tangerang Selatan,70,4.9,Jabodetabek
Seblak Ceker Cap Dua Putra,8000,Medina Snack Grosir,Kab. Sukabumi,100,5.0,Luar Jabodetabek
Seblak Rafael Original Asli 100% (Ready Stock) seblak coet @rafaeltan,38000,Eldenta Shop,Surabaya,50,5.0,Luar Jabodetabek
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",71250,kylafood,Bandung,500,4.9,Luar Jabodetabek
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 500 gr,13999,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9,Jabodetabek
